variant,capacity,real_complete_rate,real_avg_prefix_fraction,control_complete_rate,control_avg_prefix_fraction
lru,30,0.0,0.0,0.0,0.0
lru,40,0.0,0.0,0.0,0.0
lru,45,0.0,0.0,0.0,0.0
lru,50,0.0,0.1736,0.0,0.1042
lru,55,0.2083,0.3194,0.125,0.2361
lru,60,0.375,0.4375,0.2917,0.3958
lru,70,0.625,0.6528,0.7083,0.7361
lru,80,0.7917,0.9653,0.875,0.9792
semantic_no_session,30,0.0,0.0,0.0,0.0
semantic_no_session,40,0.0,0.0,0.0,0.0
semantic_no_session,45,0.0,0.0,0.0,0.0
semantic_no_session,50,0.0,0.1736,0.0,0.1042
semantic_no_session,55,0.2083,0.3194,0.125,0.2361
semantic_no_session,60,0.375,0.4375,0.2917,0.3958
semantic_no_session,70,0.625,0.6528,0.7083,0.7361
semantic_no_session,80,0.7917,0.9653,0.875,0.9792
semantic_session_aware,30,1.0,1.0,0.0,0.0
semantic_session_aware,40,1.0,1.0,0.0,0.0
semantic_session_aware,45,1.0,1.0,0.0,0.0
semantic_session_aware,50,1.0,1.0,0.0,0.0
semantic_session_aware,55,1.0,1.0,0.0,0.0
semantic_session_aware,60,1.0,1.0,0.0,0.0
semantic_session_aware,70,1.0,1.0,0.3333,0.3889
semantic_session_aware,80,1.0,1.0,0.6667,0.9444
semantic_session_aware_decay10,30,1.0,1.0,0.0,0.0
semantic_session_aware_decay10,40,1.0,1.0,0.0,0.0
semantic_session_aware_decay10,45,1.0,1.0,0.0,0.0
semantic_session_aware_decay10,50,1.0,1.0,0.0,0.0
semantic_session_aware_decay10,55,1.0,1.0,0.0,0.0
semantic_session_aware_decay10,60,1.0,1.0,0.0,0.0
semantic_session_aware_decay10,70,1.0,1.0,0.3333,0.3889
semantic_session_aware_decay10,80,1.0,1.0,0.6667,0.9444
semantic_session_aware_decay30,30,1.0,1.0,0.0,0.0
semantic_session_aware_decay30,40,1.0,1.0,0.0,0.0
semantic_session_aware_decay30,45,1.0,1.0,0.0,0.0
semantic_session_aware_decay30,50,1.0,1.0,0.0,0.0
semantic_session_aware_decay30,55,1.0,1.0,0.0,0.0
semantic_session_aware_decay30,60,1.0,1.0,0.0,0.0
semantic_session_aware_decay30,70,1.0,1.0,0.3333,0.3889
semantic_session_aware_decay30,80,1.0,1.0,0.6667,0.9444
